TransmittingNode,ReceivingNode,Distance,Height,Foliage,PacketNumber,DateTime,Temperature,Pressure,Latitude,Longitude,RSSI,SNR
2,1,108,1.5,0,1170,2025-07-15T13:12:36,30.58,1007.26,14.59459,120.981163,-92,9.5
2,1,108,1.5,0,1171,2025-07-15T13:12:37,30.56,1007.22,14.594589,120.981162,-91,7.25
2,1,108,1.5,0,1172,2025-07-15T13:12:37,30.58,1007.24,14.594589,120.981162,-90,7.5
2,1,108,1.5,0,1174,2025-07-15T13:12:39,30.56,1007.22,14.594587,120.981161,-93,8.5
2,1,108,1.5,0,1176,2025-07-15T13:12:42,30.57,1007.26,14.594584,120.981163,-93,9
2,1,108,1.5,0,1177,2025-07-15T13:12:43,30.57,1007.24,14.594586,120.981164,-91,6.75
2,1,108,1.5,0,1178,2025-07-15T13:12:43,30.57,1007.24,14.594586,120.981164,-91,8
2,1,108,1.5,0,1179,2025-07-15T13:12:45,30.57,1007.24,14.594588,120.981165,-93,11
2,1,108,1.5,0,1180,2025-07-15T13:12:45,30.57,1007.23,14.594588,120.981165,-92,10
2,1,108,1.5,0,1182,2025-07-15T13:12:48,30.57,1007.25,14.59459,120.981167,-92,9.25
2,1,108,1.5,0,1183,2025-07-15T13:12:49,30.55,1007.23,14.59459,120.981167,-90,9
2,1,108,1.5,0,1184,2025-07-15T13:12:49,30.57,1007.24,14.59459,120.981167,-90,9.75
2,1,108,1.5,0,1185,2025-07-15T13:12:51,30.57,1007.24,14.594591,120.981168,-92,11.75
2,1,108,1.5,0,1186,2025-07-15T13:12:51,30.57,1007.31,14.594591,120.981168,-91,11.75
2,1,108,1.5,0,1188,2025-07-15T13:12:54,30.56,1007.27,14.59459,120.981172,-91,11.25
2,1,108,1.5,0,1189,2025-07-15T13:12:55,30.56,1007.26,14.594589,120.981172,-89,10.5
2,1,108,1.5,0,1190,2025-07-15T13:12:55,30.56,1007.27,14.594589,120.981172,-90,10.5
2,1,108,1.5,0,1191,2025-07-15T13:12:57,30.58,1007.29,14.59459,120.981173,-91,11.75
2,1,108,1.5,0,1192,2025-07-15T13:12:57,30.57,1007.27,14.59459,120.981173,-90,11.75
2,1,108,1.5,0,1194,2025-07-15T13:13:00,30.57,1007.27,14.594599,120.981177,-91,11
2,1,108,1.5,0,1195,2025-07-15T13:13:01,30.58,1007.26,14.5946,120.981178,-90,9
2,1,108,1.5,0,1196,2025-07-15T13:13:01,30.58,1007.26,14.5946,120.981178,-90,7.75
2,1,108,1.5,0,1197,2025-07-15T13:13:03,30.6,1007.26,14.594601,120.981178,-92,10
