Distance,RSSI_h1,RSSI_h1.5,RSSI_h2,RSSI_h2.5
9.67,-73.8644859813084,-75.1885521885522,-72.4974874371859,-77.0384615384615
31.82,-83.3644444444444,-95.3268292682927,-86.9540816326531,-84.0564971751412
53.58,-82.9396984924623,-83.9494949494949,-90.3782771535581,-73.3451776649746
61.01,-86.9306358381503,-90.7887323943662,-87.0403225806452,-79.4974358974359
80,-99.1027397260274,-88.1408450704225,-89.31,-86.0483870967742
80.78,-93.6408450704225,-96.633064516129,-93.9127516778524,-91.5384615384615
83.19,-102.690298507463,-99.7292225201072,-100.217054263566,-93.590206185567
