Height_1,Height_1_5,Height_2,Height_2_5,Distance
-62.1627906976744,-62.7386363636364,-63.1084337349398,-64.0123456790123,10
-66.3422222222222,-65.5760869565217,-65.2380952380952,-70.9596774193548,20
-77.4347826086957,-70.5789473684211,-79.5906040268456,-77.5503355704698,30
-79.8478260869565,-79.5866666666667,-82.0344827586207,-72.1470588235294,40
-83.8390804597701,-76.4712643678161,-82.9642857142857,-80.3866666666667,50
-88.9146341463415,-77.9438202247191,-84.2101449275362,-73.5416666666667,60
-94.0075187969925,-79.8455284552846,-84.0149253731343,-81.7162162162162,70
